Abstract,Authors,Classification,DOI,Keywords,Not Identified,Not identified,Operational,Out of Scope,Publisher,Reasons,Source,Strategic,Tactical,Title,Year
"Choice models today are ubiquitous across a range of applications in operations and marketing. Real-world implementations of many of these models fire the formidable stumbling block of simply identifying the right model of choice to use. Because models of choice are inherently high-dimensional objects, the typical approach to dealing with this problem is positing, a priori, a parametric model that one believes adequately captures choice behavior. This approach can be substantially suboptimal in scenarios where one cares about using the choice model learned to make fine-grained predictions; one must contend with the risks of mis-specification and overfitting/underfitting. Thus motivated, we visit the following problem: For a generic model of consumer choice (namely, distributions over preference lists) and a limited amount of data on how consumers actually make decisions (such as marginal information about these distributions), how may one predict revenues from offering a particular assortment of choices? An outcome of our investigation is a nonparametric approach in which the data automatically select the right choice model for revenue predictions. The approach is practical. Using a data set consisting of automobile sales transaction data from a major U.S. automaker, our method demonstrates a 20% improvement in prediction accuracy over state-of-the-art benchmark models; this improvement can translate into a 10% increase in revenues from optimizing the offer set. We also address a number of theoretical issues, among them a qualitative examination of the choice models implicitly learned by the approach. We believe that this paper takes a step toward automating the crucial task of choice model selection.","Farias, VF; Jagabathula, S; Shah, D",Tactical,10.1287/mnsc.1120.1610,nonparametric choice; choice models; revenue prediction; utility preference; preference list; marketing mix,5.0,,15,0,INFORMS,"The abstract discusses a method for predicting revenues from consumer choice models and optimizing offer sets, which align with tactical decision-making focused on short-term goals and structured processes.",wos-prediction,10,70,A Nonparametric Approach to Modeling Choice with Limited Data,2013
"Choice-based conjoint analysis is a popular marketing research technique to learn about consumers' preferences and to make market share forecasts under various scenarios for product offerings. Managers expect these forecasts to be realistic in terms of being able to replicate market shares at some prespecified or basecase scenario. Frequently, there is a discrepancy between the recovered and base- case market share. This paper presents a Bayesian decision theoretic approach to incorporating base- case market shares into conjoint analysis via the loss function. Because de. ning the base-case scenario typically involves a variety of management decisions, we treat the market shares as constraints on what are acceptable answers, as opposed to informative prior information. Our approach seeks to minimize the adjustment of parameters by using additive factors from a normal distribution centered at 0, with a variance as small as possible, but such that the market share constraints are satisfied. We specify an appropriate loss function, and all estimates are formally derived via minimizing the posterior expected loss. We detail algorithms that provide posterior distributions of constrained and unconstrained parameters and quantities of interest. The methods are demonstrated using discrete choice models with simulated data and data from a commercial market research study. These studies indicate that the method recovers base- case market shares without systematically distorting the preference structure from the conjoint experiment.","Gilbride, TJ; Lenk, PJ; Brazell, JD",Operational,10.1287/mksc.1080.0369,Bayesian decision theory; conjoint analysis; constrained optimization; cross-validation; hierarchical Bayes; loss function; market share prediction; penalized maximum likelihood; posterior risk,10.0,,60,0,INFORMS,"The abstract discusses a Bayesian decision theoretic approach to conjoint analysis, focusing on the recovery of base-case market shares and consumer preferences, which relates to managing day-to-day marketing research activities.",wos-prediction,10,20,Market Share Constraints and the Loss Function in Choice-Based Conjoint Analysis,2008
"This paper examines the cross-fertilizations of random utility models with the study of decision making under risk and uncertainty. We start with a description of the expected utility (EU) theory and then consider deviations from the standard EU frameworks, involving the Allais paradox and the Ellsberg paradox, inter alia. We then discuss how the resulting non-EU framework can be modeled and estimated within the framework of discrete choices in static and dynamic contexts. Our objectives in addressing risk and ambiguity in individual choice contexts are to understand the decision choice process and to use behavioral information for prediction, prescription, and policy analysis.","de Palma, A; Ben-Akiva, M; Brownstone, D; Holt, C; Magnac, T; McFadden, D; Moffatt, P; Picard, N; Train, K; Wakker, P; Walker, J",Operational,10.1007/s11002-008-9047-0,Discrete choice; Decision making; Risk; Uncertainty; (Cumulative) prospect theory; Ambiguity,10.0,,60,5,SPRINGER,"The abstract discusses decision-making processes, particularly in the context of individual choices under risk and uncertainty, which aligns with operational activities such as choice modeling and determining consumer preferences.",wos-prediction,10,15,"Risk, uncertainty and discrete choice models",2008
"In contrast to books and compact discs, the number of complex services offered on the Internet is still small. The decision-making process for complex services is different because it has an additional intermediate step of indication of interest. The Web site is (a) visited and searched for information; subsequently, (b) a request for the service is made, which may lead to (c) a purchase. The authors acquired a unique data set from an online Dutch financial service provider, which offers services such as mortgage loans and insurance on the Internet on behalf of financial institutions. They also obtained information on whether the request for the service resulted in a purchase. The authors used the available information to predict the purchase using a latent class probit model. A direct managerial application of this model is the ability to identify and select profitable applicants, resulting in significant profit improvements for the company.","Vroomen, B; Donkers, B; Verhoef, PC; Franses, PH",Tactical,10.1177/1094670505276681,online purchase behavior; prediction; decision support system; Internet,5.0,,15,0,SAGE PUBLICATIONS INC,"The abstract describes the use of a latent class probit model to predict service purchases, which aligns with tactical decision-making focused on interpreting strategic goals into actionable targets like identifying profitable applicants and improving profits.",wos-prediction,10,70,Selecting profitable customers for complex services on the Internet,2005
"The tendency of bias identification and quantification with the goal of better estimation and prediction, grows. The purpose of this paper is to question how deep analysis is necessary to increase prediction of communication preferences given the customer's personality traits/biases. Examined communication preferences regard to the communication approach, language use and information sharing. This paper offers a psychometric assessment of the personality estimates and traits, as well as econometric examination of correlation to consumer first-choice communication preferences using linear logit model with binomial dependent variable. The results point out that the more detail analysis provides more accurate predictions, to the point where estimators as regressors for communication choices provide more accurate prediction than the use of the personality traits as independent variables. Paper delivers empirical assessment of consumers' communication preferences using primary data set. Practical implications relate to the use of the findings in communication with consumers in online and/ or digital marketing communication. One of the possible practical use of the results can be as an input for the recommendation agents. Theoretical implications of the findings request questioning the use of the personality traits as an interim stage in decision-making predictions. In addition, these findings fill the gap in the field of communication preference based on personality traits and personality estimators. The data set has been previously used for the doctoral thesis research. For the purpose of this research, data was re-coded and analyzed using different approach, namely binomial logistic regression.","Kostelic, K; Pavlovic, DK",Tactical,10.15240/tul/001/2018-3-009,Personality traits/biases; logistic regression; consumer decision-making; communication preferences,5.0,,10,0,TECHNICKA UNIV & LIBERCI,"The abstract discusses the analysis of communication preferences based on consumer personality traits, which aligns with tactical decision-making in marketing. It involves structured decisions such as targeting communication approaches and optimizing marketing strategies based on consumer data.",wos-prediction,15,70,ECONOMETRIC ASSESSMENT OF CUSTOMERS' PERSONALITY BIASES AND COMMUNICATION PREFERENCES CORRELATION,2018
"Firms employ temporal data for predicting sales and making managerial decisions accordingly. To use such data appropriately, managers need to make two major analysis decisions: (a) the temporal granularity (e.g., weekly, monthly) and (b) an accompanying demand model. In most empirical contexts, however, model selection, sales forecasts, and managerial decisions are vulnerable to both of these choices. Whereas extant literature has proposed methods that can select the best-fitted model (e.g., Bayesian information criterion) or provide predictions robust to model misspecification (e.g., weighted likelihood), most methods assume that the granularity is either correctly specified or prespecify it. Our research fills this gap by proposing a method, the scaled power likelihood with multiple weights (SPLM), that not only identifies the best-fitted granularity-model combination jointly, but also conducts doubly (granularity and model) robust prediction against their potentially incorrect selection. An extensive set of simulations shows that SPLM has higher statistical power than extant approaches for selecting the best-fitted granularity-model combination and provides doubly robust prediction in a wide variety of misspecified conditions. We apply our framework to predict sales for a scanner data set and find that, similar to our simulations, SPLM improves sales forecasts due to its ability to select the best-fitted pair via SPLM's dual weights.","Kim, MY; Bradlow, ET; Iyengar, R",Tactical,10.1287/mksc.2021.1340,data granularity; granularity-model selection; doubly robust prediction,5.0,,15,0,INFORMS,"The research focuses on improving sales forecasts through methods that assist in managerial decision-making regarding temporal granularity and demand models, which aligns with tactical decision-making.",wos-prediction,10,70,Selecting Data Granularity and Model Specification Using the Scaled Power Likelihood with Multiple Weights,2022
"Firms spend billions of dollars developing advertising content, yet there is little field evidence on how much or how it affects demand. We analyze a direct mail field experiment in South Africa implemented by a consumer lender that randomized advertising content, loan price, and loan offer deadlines simultaneously. We find that advertising content significantly affects demand. Although it was difficult to predict ex ante which specific advertising features would matter most in this context, the features that do matter have large effects. Showing fewer example loans, not suggesting a particular use for the loan, or including a photo of an attractive woman increases loan demand by about as much as a 25% reduction in the interest rate. The evidence also suggests that advertising content persuades by appealing peripherally to intuition rather than reason. Although the advertising content effects point to an important role for persuasion and related psychology, our deadline results do not support the psychological prediction that shorter deadlines may help overcome time-management problems; instead, demand strongly increases with longer deadlines.","Bertrand, M; Karlan, D; Mullainathan, S; Shafir, E; Zinman, J",Tactical,10.1162/qjec.2010.125.1.263,,5.0,,15,0,OXFORD UNIV PRESS INC,"The abstract discusses the effects of advertising content on demand, indicating a practical approach to implementing advertising strategies. The findings suggest actionable insights for optimizing marketing campaigns and targeting, which aligns well with tactical decision-making.",wos-prediction,10,70,WHAT'S ADVERTISING CONTENT WORTH? EVIDENCE FROM A CONSUMER CREDIT MARKETING FIELD EXPERIMENT,2010
"Objective: Identify a new model of predicting customer behavior based on new variables that can be used by marketing management and adapted to their business planning. Methodology: New model has been used, with the definition of new calculation systems of the traditional variables R, Recency, F, Frequency, and M, monetary value, (RFM), related to the business periods. Besides, activation in each period P becomes a key variable for constructing the purchase cohorts of customers and identifying their potential. A new variable, Activation Loyalty, is recognized as a good proxy of the likelihood of future customer purchases. The model builds a weighting through a multiple regression analysis obtaining beta for each variable, including the periods of activation, presenting the relative effect of the variables, and the best global explanation of the model. Results: This new model, RFMAP, which includes Activation Periods and Activation Loyalty, presents a higher prediction accuracy and improvements over traditional models with a clear impact, useful and manageable lines of segmentation, and prioritization for marketing management in CRM systems. Limitations: The main limitation of this model consists that it is based on data of only one company, and it should show the value in other sectors and give a full insight through its transversal application. Practical implications: The involved advantages demonstrated better predictability and usefulness to decision-makers, not only to determine the best customers but also with lapsed ones. It gives a meaningful explanation of differences in customer behavior, which are present in the data and are being reflected in the model. Also, it provides a prescriptive prioritization of variables to be managed in the marketing plan and how to be implemented.","Vilaginés, JA",Tactical,10.7200/esicm.167.0513.4,RFM model; RFMAP; activation periods; activation loyalty; customer base analysis,5.0,,15,0,ESCUELA SUPERIOR GESTION COMERCIAL & MARKETING,"The abstract discusses the development of a new predictive model for customer behavior that interprets strategic goals into actionable insights for marketing management. It focuses on practical applications, such as segmentation and prioritization based on customer data, which aligns more closely with tactical decision-making.",wos-prediction,10,70,Predicting customer behavior with Activation Loyalty per Period. From RFM to RFMAP,2020
"Background High budget impact (BI) estimates of new drugs have led to decision-making challenges potentially resulting in restrictions in patient access. However, current BI predictions are rather inaccurate and short term. We therefore developed a new approach for BI prediction. Here, we describe the validation of our BI prediction approach using oncology drugs as a case study. Methods We used Dutch population-level data to estimate BI where BI is defined as list price multiplied by volume. We included drugs in the antineoplastic agents ATC category which the European Medicines Agency (EMA) considered a New Active Substance and received EMA marketing authorization (MA) between 2000 and 2017. A mixed-effects model was used for prediction and included tumor site, orphan, first in class or conditional approval designation as covariates. Data from 2000 to 2012 were the training set. BI was predicted monthly from 0 to 45 months after MA. Cross-validation was performed using a rolling forecasting origin with e<^>|Ln(observed BI/predicted BI)| as outcome. Results The training set and validation set included 25 and 44 products, respectively. Mean error, composed of all validation outcomes, was 2.94 (median 1.57). Errors are higher with less available data and at more future predictions. Highest errors occur without any prior data. From 10 months onward, error remains constant. Conclusions The validation shows that the method can relatively accurately predict BI. For payers or policymakers, this approach can yield a valuable addition to current BI predictions due to its ease of use, independence of indications and ability to update predictions to the most recent data.","Geenen, JW; Belitser, SV; Vreman, RA; van Bloois, M; Klungel, OH; Boersma, C; Hövels, AM",Out of scope,10.1007/s10198-020-01176-x,Budget impact; Oncology; Medicines; Budget impact estimation; Prediction modeling; Validation study,0.0,,5,85,SPRINGER,"The abstract discusses a new approach for predicting budget impact (BI) of oncology drugs, which is primarily a healthcare-related topic rather than a marketing-focused application.",wos-prediction,5,5,A novel method for predicting the budget impact of innovative medicines: validation study for oncolytics,2020
"Purpose Alternative payment means have been expanding rapidly in recent years. The need to identify the segments of customers that are targetable for both financial and nonfinancial institutions is growing. The purpose of this paper is to use two different methods, discriminant analysis and decision trees, in order to compare the effectiveness of the two methods for segmentation and identify critical consumer characteristics which determine behavior and preference in relation to the use of payment means. Design/methodology/approach Using data from 321 bank customers, decision tree and discriminant analysis methods are used, first to test the same set of variables differentiating the customers and then to compare the respective results and prediction ability of the two methods. Findings Results show that discriminant analysis has a better model fit and segments the customers in a more effective way than the decision tree method. In addition, each method shows different variables to differentiate the customer groups. Research limitations/implications The findings are limited to the sector and country of the study, as well as the convenience sample that has been used. Practical implications Suggestions for financial managers to better understand their customers' behavior and target the right group are discussed. Originality/value This is the first attempt to compare decision trees and discriminant analysis as alternative segmentation methods for payment means.","Dimitriadis, S; Kyrezis, N; Chalaris, M",Tactical,10.1108/IJBM-10-2016-0157,Decision trees; Segmentation; Discriminant analysis; Payment means,5.0,,15,0,EMERALD GROUP PUBLISHING LTD,The abstract discusses the use of decision-making methods (discriminant analysis and decision trees) to segment customers based on their behavior and preferences regarding payment means. This aligns with tactical decision-making as it involves structured analysis aimed at achieving specific marketing targets and understanding customer behavior.,wos-prediction,10,70,A comparison of two multivariate analysis methods for segmenting users of alternative payment means,2018
