Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Classification,Reasons,Strategic,Tactical,Operational,Out of Scope,Not Identified
A SURVEY OF THE COMPARISON SHOPPING AGENT-BASED DECISION SUPPORT SYSTEMS,"Pathak, B",2010,,"The web-based comparison shopping agents (CSAs) or shopbots have emerged as important business intermediaries that provide decision support to both the shoppers and the merchants. The basic idea is to provide an easy access to both the price and non-price based competitive features to shoppers. The CSAs do not have an equivalent counterpart in the offline world and they have generated a significant amount of interest among researchers in economics, marketing, and information systems fields. There have been numerous studies on the CSAs in the contexts of price dispersion, consumer behavior, search costs, and recommender systems. The focus of this paper is to study the contemporary literature about the CSAs to analyze them in the context of decision support systems (DSS). In order to provide comprehensive decision support, a typical DSS should have four components: data, models, interfaces, and user specific customization. In this paper, this four component framework is used to synthesize the current research work in the context of DSS and to explore contemporary CSAs. The paper provides suggestions for improving the decision support aspect of the CSAs and proposes a research agenda for the CSA-based decision support systems.",comparison shopping agents; CSA; shopbots; comparison shopping; decision support systems,CALIFORNIA STATE UNIV,wos-recommendation,Strategic,"The abstract discusses the role of comparison shopping agents (CSAs) as decision support systems (DSS) and explores their contemporary literature, which aligns with long-term organizational goals and planning in the context of marketing and consumer behavior.",60,20,10,5,5
Seeing eye to eye: social augmented reality and shared decision making in the marketplace,"Hilken, T; Keeling, DI; de Ruyter, K; Mahr, D; Chylinski, M",2020,10.1007/s11747-019-00688-0,"Firms increasingly seek to improve the online shopping experience by enabling customers to exchange product recommendations through social augmented reality (AR). We utilize socially situated cognition theory and conduct a series of five studies to explore how social AR supports shared decision making in recommender-decision maker dyads. We demonstrate that optimal configurations of social AR, that is, a static (vs. dynamic) point-of-view sharing format matched with an image-enhanced (vs. text-only) communicative act, increase recommenders' comfort with providing advice and decision makers' likelihood of using the advice in their choice. For both, these effects are due to a sense of social empowerment, which also stimulates recommenders' desire for a product and positive behavioral intentions. However, recommenders' communication motives impose boundary conditions. When recommenders have strong impression management concerns, this weakens the effect of social empowerment on recommendation comfort. Furthermore, the stronger a recommender's persuasion goal, the less likely the decision maker is to use the recommendation in their choice.",Social augmented reality; Online shopping; Shared decision making; Customer-to-customer communication; Socially situated cognition,SPRINGER,wos-recommendation,Operational,"The abstract discusses how social augmented reality (AR) enhances online shopping experiences through consumer recommendations, which falls under managing daily activities and consumer interactions. It focuses on specific mechanisms that influence consumer decision-making and advice utilization, aligning with operational activities.",10,15,65,0,10
The Importance of Modeling Temporal Dependence of Timing and Quantity in Direct Marketing,"Jen, LC; Chou, CH; Allenby, GM",2009,10.1509/jmkr.46.4.482,"The analysis of customer value in direct marketing typically combines customer timing and quantity data into a single statistic that is used to compute lifetime values, rank-order customers for differential action, and identify prospects for cross-selling. However, current models assume that purchase timing and quantity decisions are independently realized (i.e., uncorrelated) over time given individual-level parameters. In this article, the authors show that customer value calculations can be severely biased in these models when timing and quantity are dependently related. The authors propose alternative models that lead to substantial gains in profitability in two direct-marketing data sets. The results indicate that the commonly held assumption of independence leads to an over-valuation of customer value.",customer relationship management; customer scoring; lifetime value; covariance heterogeneity; Bayesian analysis,AMER MARKETING ASSOC,wos-recommendation,Tactical,"The abstract discusses the analysis of customer value in direct marketing and the impact of timing and quantity decisions on customer valuations, which aligns with tactical marketing decisions and strategies. It focuses on improving marketing analytics and customer targeting, which are typical tactical-level processes.",10,70,15,0,5
"The role of cognitive style, gullibility, and demographics on the use of social media for financial decision making","Florendo, J; Estelami, H",2019,10.1057/s41264-019-00064-7,"Consumer use of social media has witnessed significant growth in recent years. Due to its unregulated, user-generated, and poorly censored format, social media use has blurred the line between the fake and the true and can result in mass dissemination of inaccurate and false information, thereby impacting national politics, election outcomes, and social interactions between consumer social clusters. In the unique context of financial decisions, consumer reliance on social media can significantly increase the risk of making poor financial decisions. This study examined the impact of cognitive style, consumer gullibility, and demographics on consumers' reliance on social media for financial decision making. The results of a US national survey identify consumer characteristics which contribute to increased reliance on social media in financial decision making. The findings point to consumer vulnerabilities associated with psychographic and demographic attributes of consumers. The paper concludes with recommendation-related consumer education and public protection measures.",Social media; Information processing; Financial decision making,PALGRAVE MACMILLAN LTD,wos-recommendation,Out of scope,"The abstract discusses the impact of social media on financial decision-making, which falls outside the marketing domain and relates more to consumer behavior and financial services.",5,5,5,85,0
Consumer decision making in online shopping environments:: The effects of interactive decision aids,"Häubl, G; Trifts, V",2000,10.1287/mksc.19.1.4.15178,"Despite the explosive growth of electronic commerce and the rapidly increasing number of consumers who use interactive media (such as the World Wide Web) for prepurchase information search and online shopping, very little is known about how consumers make purchase decisions in such settings. A unique characteristic of online shopping environments is that they allow vendors to create retail interfaces with highly interactive features. One desirable form of interactivity from a consumer perspective is the implementation of sophisticated tools to assist shoppers in their purchase decisions by customizing the electronic shopping environment to their individual preferences. The availability of such tools, which we refer to as interactive decision aims for consumers, may lead to a transformation of the way in which shoppers search for product information and make purchase decisions. The primary objective of this paper is to investigate the nature of the effects that interactive decision aids may have on consumer decision making in online shopping environments. While making purchase decisions, consumers are often unable to evaluate all available alternatives in great depth and, thus, tend to use two-stage processes to reach their decisions. At the first stage, consumers typically screen a large set of available products and identify a subset of the most promising alternatives. Subsequently, they evaluate the latter in more depth, perform relative comparisons across products on important attributes, and make a purchase decision. Given the different tasks to be performed in such a two-stage process, interactive tools that provide support to consumers in the following respects are particularly valuable: (1) the initial screening of available products to determine which ones are worth considering further, and (2) the in-depth comparison of selected products before making the actual purchase decision. This paper examines the effects of two decision aids, each designed to assist consumers in performing one of the above tasks, on purchase decision making in an online store. The first interactive tool, a recommendation agent (RA), allows consumers to more efficiently screen the (potentially very large) set of alternatives available in an online shopping environment. Based on self-explicated information about a consumer's own utility function (attribute importance weights and minimum acceptable attribute levels), the RA generates a personalized list of recommended alternatives. The second decision aid, a comparison matrix (CM), is designed to help consumers make in-depth comparisons among selected alternatives. The CM allows consumers to organize attribute information about multiple products in an alternatives x attributes matrix and to have alternatives sorted by any attribute. Based on theoretical and empirical work in marketing, judgment and decision making, psychology, and decision support systems, we develop a set of hypotheses pertaining to the effects of these two decision aids on various aspects of consumer decision making In particular, rye focus on how use of the RA and CM affects consumers' search for product information, the size and quality of their consideration sets, and the quality of their purchase decisions in an online shopping environment. A controlled experiment using a simulated online store was conducted to test the hypotheses. The results indicate that both interactive decision aids have a substantial impact on consumer decision making. As predicted, use of the RA reduces consumers' search effort for product information, decreases the size but increases the quality of their consideration sets, and improves the quality of their purchase decisions. Use of the CM also leads to a decrease in the size but an increase in the quality of consumers' consideration sets, and has a favorable effect on some indicators of decision quality. In sum, our findings suggest that interactive tools designed to assist consumers in the initial screening of available alternatives and to facilitate in-depth comparisons among selected alternatives in an online shopping environment may have strong favorable effects on both the quality RA the efficiency of purchase decisions-shoppers can make much better decisions while expending substantially less effort, This suggests that interactive decision aids have the potential to drastically transform the way in which consumers search for product information and make purchase decisions.",,INST OPERATIONS RESEARCH MANAGEMENT SCIENCES,wos-recommendation,Tactical,"The abstract discusses the effects of interactive decision aids on consumer decision making in online shopping environments, which aligns with tactical decision processes that interpret strategic goals into actionable targets, focusing on specific tools and methods for improving consumer engagement and purchase decisions.",10,70,15,0,5
Consumers' redemption behavior of recommended mobile coupons in social network sites,"Tang, Q; Liu, F; Liu, S; Ma, YF",2019,10.1108/MD-03-2017-0234,"Purpose The purpose of this paper is to explore the key factors that affect consumer redemption intention toward mobile coupons recommended in social network sites (SNS). Design/methodology/approach A research model that integrates recommendation trust, positive utilities, and negative utilities of coupon redemption is developed. With the important role of trust in social recommendation taken into consideration, the key drivers of recommendation trust were analyzed in the model. Data were collected from 210 users with mobile coupon recommendation experience in one of the largest SNS (i.e. WeChat) in China. The authors used partial least squares technique to analyze the model. Findings Recommendation trust and positive utilities (economic benefits and perceived enjoyment) positively affect the intention of mobile coupon redemption. Perceived risk, as a negative utility, negatively influences coupon redemption intention. In addition, swift trust (structure assurance, perceived similarity, trust propensity, and expertise of the recommender), knowledge-based trust (familiarity with the retailers), and emotion-based trust (social tie strength) are key drivers that promote recommendation trust. Originality/value While prior research investigated mobile coupon redemption behavior in which coupons were issued by merchants, limited research analyzed consumer responses toward mobile coupons in social recommendation. This study examines the effects of recommendation trust, positive utilities, and negative utilities on mobile coupon redemption in the context of social recommendation and recognizes the key drivers of recommendation trust.",Social media marketing; Trust; Redemption; Mobile coupon; Social recommendation,EMERALD GROUP PUBLISHING LTD,wos-recommendation,Tactical,"The abstract discusses specific factors influencing consumer behavior regarding mobile coupons in a social network context, which aligns with tactical decision-making focused on structured goals and consumer engagement strategies.",10,70,15,0,5
Religiosity level and saving decisions in Baitul Maal wat Tamwil: the case of Indonesia,"Wijaya, IF; Hakim, AR; Saputro, N; Mulyadi, M",2020,10.1108/JIMA-09-2018-0160,"Purpose This paper aims to examine the relationship between religiosity level and reasons for saving money in Islamic microfinance institutions [Baitul Maal wat Tamwil (BMT)] in Surakarta and Sukoharjo, Indonesia. Design/methodology/approach A chi-square test was used to identify the relationship between religiosity level and saving decisions in BMTs. In addition, the authors tested religiosity level and the reasons for transactions in both BMTs and conventional banking. Data were collected via a questionnaire. A total of 523 respondents from Surakarta and Sukoharjo, Indonesia, participated in the survey. The respondents are customers of 31 BMTs in Surakarta and Sukoharjo. Findings The authors find a significant relationship between one's religiosity and the reason for saving money in BMTs. Products that are in accordance with Islamic principles form the highest reason for saving money in BMTs, followed by quality of service, recommendation from friends and location. In addition, purpose of business is the main reason for transactions in both BMTs and conventional banking. However, there is no significant relationship between religiosity level and the decision to transact in both BMTs and conventional banking. Originality/value There is a lack of literature discussing Islamic microfinance institutions, especially in Indonesia. Furthermore, BMT customers have different characteristics compared with those of large banks.",Islamic microfinance institutions; Religiosity; Saving decision; Islamic bank; BMT,EMERALD GROUP PUBLISHING LTD,wos-recommendation,Out of scope,"The abstract focuses on the relationship between religiosity and saving behaviors in Islamic microfinance institutions, which is not related to marketing.",5,5,5,85,0
Solving multiattribute design problems with analytic hierarchy process and conjoint analysis: An empirical comparison,"Scholl, A; Manthey, L; Helm, R; Steiner, M",2005,10.1016/j.ejor.2004.01.026,"We consider the multiattribute design problem (MADP) which contains a considerable number of alternatives, resulting from the combination of a limited number of discrete levels of several quantitative and/or qualitative attributes. In order to solve such problems, the preferences of individual decision makers have to be measured. Though a considerable number of methods is available from different research areas, only a subset is applicable to MADP. In this paper, we report on an empirical study which considered the problem of designing a university and involved more than 300 respondents. Because of this large-scale design, we performed a paper-and-pencil investigation and selected methods which could concisely be applied in such a setting: the analytic hierarchy process (AHP) and the conjoint analysis (CA). The results show that both methods give useful models of the respondents' preferences. However, inspecting the utility functions determined in detail reveals considerable discrepancies between them. Most of the measures used for comparison indicate AHP to be the better choice for the special decision situation considered. In order to get a more general recommendation, we categorize different types of MADP and discuss the applicability of AHP and CA. (C) 2004 Elsevier B.V. All rights reserved.",decision analysis; marketing; multiple criteria analysis; utility theory; preference measurement,ELSEVIER,wos-recommendation,Tactical,"The abstract discusses methods for measuring preferences in a multiattribute design problem, which aligns with tactical decision-making processes that involve structured decision methods for specific goals, such as designing a university.",10,70,15,0,5
Reactance to recommendations: When unsolicited advice yields contrary responses,"Fitzsimons, GJ; Lehmann, DR",2004,10.1287/mksc.1030.0033,"Recommendations often play a positive role in the decision process by reducing the difficulty associated with choosing between options. However, in certain circumstances recommendations play a less positive and more undesirable role from the perspectives of both the recommending agent or agency and the person receiving the recommendation. Across a series of four studies, we explore consumer response when recommendations by experts and intelligent agents contradict the consumer's initial impressions of choice options. We find that unsolicited advice that contradicts initial impressions leads to the activation of a reactant state on the part of the decision maker. This reactance, in turn, leads to a behavioral backlash that results not only in consumers ignoring the agents' recommendations but in intentionally contradicting them.",recommendations; intelligent agents; decision support systems; internet marketing,INFORMS,wos-recommendation,Operational,"The abstract discusses consumer behavior and decision-making processes in response to recommendations from experts and intelligent agents, which aligns with managing day-to-day consumer interactions and preferences.",10,20,60,5,5
The Effect of Expertise on Consumers' Satisfaction with the Use of Interactive Recommendation Agents,"Su, HJ; Comer, LB; Lee, S",2008,10.1002/mar.20244,"Based on cost-benefit theory and the value-percept diversity model, this study investigates the underlying mechanism that makes consumers feel satisfied with the use of interactive recommendation agents (IRAs). The format of IRAs was manipulated experimentally (attribute-based format/benefit-based format/no agent) and participants were classified as either expert or novice consumers. The dependent measures were the perceived costs and benefits of the information search process, the perceived costs and benefits of the decision-making process, and the degree of satisfaction with the outcome. The results explain the mechanisms underlying consumers' satisfaction when using an IRA. The findings also suggest the presence of an interaction between the expertise of consumers and the preferred type of IRA on various dependent variables. (C) 2008 Wiley Periodicals, Inc.",,WILEY,wos-recommendation,Operational,"The study investigates consumer satisfaction with interactive recommendation agents, focusing on day-to-day consumer decision-making processes and the perceived costs and benefits of using these agents.",10,20,65,0,5
