Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Classification,Reasons,Strategic,Tactical,Operational,Out of Scope,Not Identified
Social media as a strategic tool: Going beyond the obvious,Arora P.; Predmore C.E.,2013,10.1108/S1877-6361(2013)0000011010,"Purpose - This chapter demonstrates the strategic use of social media by firms interacting with stakeholders, not just customers. Corporations have seen how consumers can share their experiences with products and services. Smart companies find ways to leverage these conversations to engage current and potential customers and other stakeholders. Design/methodological approach - Our approach is theoretical, based on an examination of how the communication channel of social media can be used as a strategic tool throughout the organization, going well beyond marketing. Findings - This chapter looks at four advantages of social media. Social media provides a mechanism for firms to not just find customers, but also allow customers to find firms. Social media can engage customers, industry influencers, and thought pundits in cost-effective ways that benefit both the firm and stakeholders. The largest contribution of social media is the information from big data on customer needs and wants as well as on the processes underlying consumer decisions. The greatest opportunity lies in how a firm converts data into actionable intelligence in real time. Practical applications - We discuss how the words, social and media, need to be de-coupled: The concept of social can be practically applied very effectively to areas of strategy and internal learning, and product development. Taking advantage of the opportunities presented by social media requires a social enterprise to be effective. Originality - This chapter presents an original theoretical framework of social media that can be used by a company to examine the social aspects and implications of every element in the value chain. Copyright © 2013 by Emerald Group Publishing Limited All rights of reproduction in any form reserved.",Big data; Social media; Strategic planning,,scopus-big data,Strategic,"The chapter discusses the strategic use of social media by firms to engage with various stakeholders, emphasizing long-term organizational goals and the conversion of data into actionable intelligence, which aligns with strategic planning.",60,25,10,0,5
Dynamic cooperation strategies of the closed-loop supply chain involving the internet service platform,Xiang Z.; Xu M.,2019,10.1016/j.jclepro.2019.01.310,"In the age of “Internet+” many Internet service platforms (ISPs) in China have been widely introduced to the closed-loop supply chain (CLSC). To further study the role of the Internet service platform, this paper considers a CLSC composed of a manufacturer, a retailer and an Internet service platform who invests in research and development (R&D), advertising and Big Data marketing, and develops the goodwill dynamic model based on the differential game theory. The construction of a goodwill dynamic model has two purposes, namely, to increase sales and the return rate. The optimal decisions for 3 players under two different cooperative scenarios are obtained, namely, the retailer payment scenario (scenario D) and the manufacturer cost-sharing scenario (scenario S). The supply chain members gain more profit or achieve a higher level of goodwill for products under certain conditions, i.e., a high residual value from remanufacturing, a high sharing rate of residual value from the retailer's recycled products, and a low recycling cost. Interestingly, the wholesale price increases with the residual value of recycled products when goodwill effectiveness is low, while the price declines when goodwill effectiveness is high. After comparing two cooperative scenarios, the result shows that an Internet service platform will invest more in Big Data marketing under the manufacturer cost-sharing scenario, and cooperation between the manufacturer and the Internet service platform can help improve the goodwill of enterprises or products. Moreover, the manufacturer cost-sharing scenario is payoff-Pareto-improving in most cases through the coordination of a cost-sharing rate, and the effectiveness of Big Data marketing exerts a positive effect on goodwill and the development of the industry. In addition, the retailer has “free rider” tendencies in the manufacturer cost-sharing scenario. The results encourage more enterprises to enhance the value of goodwill through cooperation with Internet service platforms because Internet service platforms conveniently utilize Big Data marketing to increase the sales of products and the collecting rate of used products, which in turn helps environmental sustainability. © 2019 Elsevier Ltd",Big data marketing; Closed-loop supply chain; Differential game; Internet service platform,Elsevier Ltd,scopus-big data,Strategic,"The abstract discusses long-term implications of integrating Internet service platforms into closed-loop supply chains, focusing on cooperation, goodwill enhancement, and R&D investment, which aligns with strategic planning and organizational goals.",60,25,10,0,5
Do conversational platforms represent the next big digital marketing opportunity?,Copulsky J.,2019,,"This paper examines the evolution of conversational platforms. Over the next three to five years, the technology will likely evolve rapidly, allowing conversational platforms to move beyond established customer service use cases to applications that facilitate more informed customer decision-making and create more immersive brand engagement experiences. Marketers will need to sort through the legal, regulatory and brand trust issues associated with the Big Data generated by conversational platforms, as well as integrate conversational platforms into their user experience roadmap, data strategies and marketing technology stack. © Henry Stewart Publications.",Brand engagement; Brand trust; Chatbots; Conversational platforms; Customer experience; Digital marketing; Recommender systems; Virtual assistants,Henry Stewart Publications,scopus-big data,Strategic,"The abstract discusses the future evolution of conversational platforms and their implications for marketing, which aligns with long-term strategic planning. It addresses the need for marketers to consider legal, regulatory, and brand trust issues, indicating a focus on overarching goals and the integration of technology into broader marketing strategies.",60,25,10,0,5
Perspectives on big data,Weinberg B.D.; Davis L.; Berger P.D.,2013,10.1057/jma.2013.20,"There is much hype associated with the term ‘Big Data’ (BD), and much opportunity in the data that are associated with that term, along with the tools and techniques in existence and being developed to leverage it for decision making and improving the condition of living beings, firms and society. However, many are not clear on what are, or what is meant by the term, ‘Big Data’. The focus of this research was to explore the meaning of BD and to identify important paths of research on BD. As part of this process, we called upon a diverse set of marketing scholars who possess expertise and special insights. We discovered that different communities have different perspectives. It could be argued that they are all correct as they reflect the preferred perspectives of different communities. We find it helpful to think of BD as a term that represents a period of time or era, a process, and data that are from a variety of sources, of various structures or forms, and in a variety of locations. Important research questions and issues related to BD are discussed. © 2013 Macmillan Publishers Ltd.",Big data; Marketing; Research opportunities,Palgrave Macmillan Ltd.,scopus-big data,Strategic,"The abstract discusses the broader implications and understanding of 'Big Data' in terms of its significance, potential paths for research, and its impact on decision making. This reflects a strategic consideration of how organizations can utilize Big Data for long-term goals and societal improvements.",70,10,5,5,10
Predictive analytics in employee churn: A systematic literature review,Ekawati A.D.,2019,,"The increase of capacity in the collection, storing, and analyzing the massive volume of data due to the rapid advancement of information technology has changed how the decision-makers in organizations approach their work. Human Resource Information Systems provide a lot of data on the employees, but there are still a few best practices on how to make use the abundant data for better decision making in Human Resources area. This limited implementation is mostly due to the decision making process in Human Resources is highly depended on the intuition, the use of advanced data analytics is still in the very early stage of implementation which is left behind in comparison to the use of advanced analytics in other areas such as Marketing, Sales or Finance. This article answers the question on how is the current implementation of predictive analytics in employee churn or employee turnover which is one of the most discussed topics in Human Resources Management, and which method of predictive analytics are better to use in predicting the employee churn. The answers of these questions are obtained from the result of a systematic literature review on the scholarly articles related to the topic published from 2000 to 2018 in major databases such as IEEE, ACM, Science Direct, Emerald and Willey Online. © 2019 Allied Business Academies.",Big data; Employees churn; Human resource analytics; Intelligent human resource systems; Predictive modeling,Allied Business Academies,scopus-big data,Tactical,"The abstract discusses the implementation of predictive analytics in Human Resources, specifically regarding employee churn, indicating a structured approach to decision-making based on data analytics. This aligns with tactical decision-making where strategic goals are interpreted into actionable targets.",10,70,15,0,5
Customer Segmentation for Expressway ETC System; [高速公路ETC 客户细分方法研究],Qian C.; Yang M.; Geng J.; Xu H.-K.,2018,10.16097/j.cnki.1009-6744.2018.04.034,"Applying big data technology, a customer segmentation method of electronic toll collection (ETC) system is presented based on vehicle behavioral characteristics. A segmentation index system of ETC customer consisting of Recency, Frequency, and Monetary is constructed and extracted using ETC data. The whole sample clustering analysis of ETC customer is accomplished by CLARA algorithm while overcoming the invalidation problem on big data clustering. The decision tree of ETC customer segmentation is finally built and transformed into a set of segmentation rules. The empirical results indicate that the proposed method has a better ability to analyze the traveling characteristics, present values and appreciation potentials for different classifications of ETC customers. It provides an innovative idea to implement precision marketing and make hierarchical discount rates for ETC customers. Meanwhile, it provides theoretical support to further increase of ETC customer scale and paying ratio, as improve decision-making level in expressway operation and management. Copyright © 2018 by Science Press.",Big data; Customer segmentation; ETC; Highway transportation; Star rating,Science Press,scopus-big data,Tactical,"The abstract discusses a customer segmentation method based on data analysis, which aligns with interpreting strategic goals into actionable targets. The focus on clustering analysis and decision tree rules suggests structured decision-making processes typical of tactical applications.",15,70,10,0,5
Marketing analytics for data-rich environments,Wedel M.; Kannan P.K.,2016,10.1509/jm.15.0413,"The authors provide a critical examination of marketing analytics methods by tracing their historical development, examining their applications to structured and unstructured data generated within or external to a firm, and reviewing their potential to support marketing decisions. The authors identify directions for new analytical research methods, addressing (1) analytics for optimizingmarketing-mix spending in a data-rich environment, (2) analytics for personalization, and (3) analytics in the context of customers' privacy and data security. They review the implications for organizations that intend to implement big data analytics. Finally, turning to the future, the authors identify trends that will shape marketing analytics as a discipline as well as marketing analytics education. © 2016, American Marketing Association.",Big data; Marketing analytics; Marketing mix; Personalization; Privacy,American Marketing Association,scopus-big data,Strategic,"The abstract discusses the historical development and future directions of marketing analytics, which relates to long-term organizational goals and strategic decision-making in marketing. It emphasizes the implications of big data analytics and identifies trends shaping the discipline, aligning with strategic planning.",60,25,10,0,5
From academic research to marketing practice: Exploring the marketing science value chain,Roberts J.H.; Kayande U.; Stremersch S.,2014,10.1016/j.ijresmar.2013.07.006,"We aim to investigate the impact of marketing science articles and tools on the practice of marketing. This impact may be direct (e.g., an academic article may be adapted to solve a practical problem) or indirect (e.g., its contents may be incorporated into practitioners' tools, which then influence marketing decision making). We use the term ""marketing science value chain"" to describe these diffusion steps, and survey marketing managers, marketing science intermediaries (practicing marketing analysts), and marketing academics to calibrate the value chain.In our sample, we find that (1) the impact of marketing science is perceived to be largest on decisions such as the management of brands, pricing, new products, product portfolios, and customer/market selection, and (2) tools such as segmentation, survey-based choice models, marketing mix models, and pre-test market models have the largest impact on marketing decisions. Exemplary papers from 1982 to 2003 that achieved dual - academic and practice - impact are Guadagni and Little (1983) and Green and Srinivasan (1990). Overall, our results are encouraging. First, we find that the impact of marketing science has been largest on marketing decision areas that are important to practice. Second, we find moderate alignment between academic impact and practice impact. Third, we identify antecedents of practice impact among dual impact marketing science papers. Fourth, we discover more recent trends and initiatives in the period 2004-2012, such as the increased importance of big data and the rise of digital and mobile communication, using the marketing science value chain as an organizing framework. © 2013 The Authors.",,Elsevier,scopus-big data,Strategic,"The abstract discusses the impact of marketing science on long-term marketing decision-making, focusing on areas such as brand management, pricing, and product development. It also emphasizes the alignment between academic impact and practical applications, indicating a strategic overview of how marketing science informs overall marketing practices.",60,25,10,0,5
"Tourism marketing research: Past, present and future",Dolnicar S.; Ring A.,2014,10.1016/j.annals.2014.03.008,"This paper creates a Tourism Marketing Knowledge Grid and uses it as a framework for the review. The grid reveals that extant tourism marketing research has primarily focused on how service promises are made and kept, and has mostly generated frameworks to improve managerial decision making or provided insights about associations between constructs. Strategic principles, underpinned by the understanding of cause-effect relationships, are rare. These findings point to exciting opportunities for future research, including increased attention on enabling promises made to tourists and development of strategic and research principles; increased use of experimental, quasi-experimental and longitudinal research designs, as well as unstructured qualitative designs; and an increased focus on the study of actual behavior. © 2014 Elsevier Ltd.",Big data; Marketing knowledge; Promise management; Tourism marketing; Tourism marketing knowledge grid,Elsevier Ltd,scopus-big data,Strategic,"The abstract discusses the creation of a Tourism Marketing Knowledge Grid and highlights the need for strategic principles in tourism marketing research, indicating a long-term focus on understanding cause-effect relationships and improving managerial decision-making.",70,15,5,0,10
When ‘significant’ is not significant,Kennedy R.; Scriven J.; Nenycz-Thiel M.,2014,10.2501/ijmr-2014-041,"Big data is here for some and coming for many. It promises access to new knowledge along with some challenges, but let's not forget the important lessons of the past to ensure that we are advancing knowledge and making the right decisions from the data we have. In this paper, we submit that marketing's emphasis on statistical significance is misplaced, especially in the new world of big data. We include case examples to demonstrate how statistical significance is easy to find, but not necessarily important. We will also discuss the alternative route for generating robust knowledge. Specifically, we espouse the tradition pioneered by Andrew Ehrenberg of Many Sets of Data (MSoD) and descriptive models as the way to advance marketing science, and as a solid foundation for data interpretation in market research studies. We offer insights for market research practitioners and marketers alike, to ensure they are getting the best from their data for robust marketing decision-making. © Warc 2014 Warc Ltd.",,Market Research Society,scopus-big data,Strategic,"The abstract discusses the implications of big data in marketing and emphasizes the importance of adopting a long-term perspective on data interpretation and marketing science, aligning with strategic decision-making.",60,20,10,5,5
