Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Classification,Reasons,Strategic,Tactical,Operational,Out of Scope,Not Identified
Testing of minimization of subjectivity in best value procurement by using artificial intelligence systems in state of Utah procurement,Kashiwagi D.T.; Byfield R.,2002,10.1061/(ASCE)0733-9364(2002)128:6(496),"The Performance Information Procurement System (PIPS) was tested on the procurement of the $2.96 million Bridgerland Academic Training Center (ATC) for the state of Utah Division of Facilities Construction Management. The artificial intelligence (AI) information based PIPS was run two ways - selection with biased subjectivity (similar to current best value processes) and without biased subjectivity. Unlike other best value processes, PIPS minimizes the decision-making and subjective bias of the owner's representatives. The procurement test at Bridgerland ATC provides a comparison between the AI selection versus the user agency's subjective prioritization. The result of the system was one of the ""best"" construction projects procured at the state of Utah (on time, on budget, high quality), with no contractor generated change orders for additional cost, minimized construction management requirements, and high customer satisfaction.",Artificial intelligence; Construction; Cost control; Project management; Utah,,scopus-ai,Strategic,"The abstract discusses the implementation and outcomes of the Performance Information Procurement System (PIPS) in a significant procurement project, highlighting its long-term implications on decision-making processes in procurement by reducing bias and improving results. This aligns with strategic goals of organizations aiming to enhance efficiency and quality in project procurement.",70,20,5,0,5
Virtual reality’s impact on destination visit intentions and the moderating role of amateur photography,Morrison A.M.; Bag S.; Mandal K.,2024,10.1108/TR-12-2022-0621,"Purpose: This paper aims to investigate the effects of virtual reality experiences (VREs) and emotions on holiday destination visit intentions by applying the stimulus-organism-response (S-O-R) framework. It also examined the role of amateur photography as a moderator in the relationship between VREs, emotions and visit intentions. Design/methodology/approach: Primary data were collected through a structured survey questionnaire administered in India, and structural equation modelling (SEM) was used to examine relationships among variables. The formal survey was preceded by a pilot study. The partial least squares-SEM product indicator technique was applied to measure the moderation effect of amateur photography. Findings: When people have high levels of positive emotions in the pre-travel stage with VRE participation, their intentions to visit destinations are stronger. Amateur photography moderated the relationships between user interactivity, memorable experiences, mental imagery and visit intentions. No significant moderating effect was found between emotional experiences and visit intentions. Practical implications: The results indicate that creators of virtual reality (VR) communications should concentrate on producing interactive and visually striking VR content, as the research found that VR experiences with tourism-related activities have a significant impact on potential visitor emotions. Therefore, VR producers should incorporate authentic and distinctive elements into contents, giving viewers realistic and trustworthy VR tourism experiences. Destination marketers should evoke emotions in people to increase motivations to visit the VR-presented places. Destination marketers should create VR content with hedonic elements, fostering a connection and desire to visit the destination presented in the VR. For example, destination marketers can enhance the sensory aspects of VR content with audio, video, haptics and artificial intelligence, encouraging people to be emotionally captivated and fully immersed. The findings indicate that amateur photography has a significant moderating effect on prospective tourists’ intentions to visit a place presented in VR. Thus, destination marketers are advised to provide photogenic and relevant content to users. By using amateur photography, destinations can market their attractions to potential visitors in a more interactive and relatable manner. Showcasing images taken by amateur photographers presents a genuine perspective of the offerings, thereby increasing visit intentions among prospective visitors. Additionally, amateur photography helps promote the destination in a positive light, emphasizing the attractions and other offerings, and this encourages potential visitors to consider the destination as a travel option, thereby increasing visit intentions. Encouraging amateur photographers to take and share images also increases their engagement with the destination, creating a sense of community and connection and ultimately driving visit intentions. Destination marketers should embrace VR tourism content as a means of promoting their destinations to potential customers by considering the three crucial elements of memorable experiences, emotional experiences and mental imagery. In essence, destination management organizations and other decision makers should develop complete VR communication plans that incorporate interactive and visually striking activities. This can be done by creating VR experiences for prospective tourists, which will enable them to pick their preferred destinations at the pre-travel stage. Through this approach, an effective destination marketing strategy can be established. Originality/value: This research has value in making several potential contributions to the tourism applications of VR. It is the first study to use and test the S-O-R framework to analyse tourist behaviour from the perspective of emotions generated by VR applications. The analysis focuses on India’s tourism market, which has not been explored much in the context of VR and from the perspective of a developing country. The research emphasizes the use of VR as a tool to understand tourist behaviour rather than just focusing on visit intentions. The findings provide valuable insights into the importance of VR in tourism. The knowledge generated will contribute to the understanding of the impact of VR experiences on emotions and visit intentions and the moderating effect of amateur photography. It has practical implications for destination marketers in developing effective marketing strategies that enhance tourists’ emotions and motivate visit intentions. © 2023, Emerald Publishing Limited.",Amateur photography; Emotional experiences; Holiday destinations; S-O-R framework; Structural equation modelling; Virtual reality experiences; Visit intentions,Emerald Publishing,scopus-artificial intelligence,Tactical,"The abstract discusses specific strategies for destination marketers to enhance virtual reality content and emotional engagement, which aligns with tactical decision-making in marketing. It focuses on practical implications and how to implement VR strategies to increase visit intentions.",15,65,15,0,5
Classification of potential electric vehicle purchasers: A machine learning approach,Bas J.; Cirillo C.; Cherchi E.,2021,10.1016/j.techfore.2021.120759,"Among the many approaches towards fuel economy, the adoption of electric vehicles (EV) may have the greatest impact. However, existing studies on EV adoption predict very different market evolutions, which causes a lack of solid ground for strategic decision making. New methodological tools, based on Artificial Intelligence, might offer a different perspective. This paper proposes supervised Machine Learning (ML) techniques to identify key elements in EV adoption, comparing different ML methods for the classification of potential EV purchasers. Namely, Support Vector Machines, Artificial Neural Networks, Deep Neural Networks, Gradient Boosting Models, Distributed Random Forests, and Extremely Randomized Forests are modeled utilizing data gathered on users’ inclinations towards EV. Although a Support Vector Machine with polynomial kernel slightly outperforms the other algorithms, all of them exhibit comparable predictability, implying robust findings. Further analysis provides evidence that having only partial information (e.g. only socioeconomic variables) has a significant negative impact on model performance, and that the synergy across several types of variables leads to higher accuracy. Finally, the examination of misclassified observations reveals two well-differentiated groups, unveiling the importance that the profiling of potential purchaser may have for marketing campaigns as well as for public agencies that seek to promote EV adoption. © 2021",Adoption; Cluster analysis; Electric vehicle; Imputation; Machine learning; Prediction,Elsevier Inc.,scopus-artificial intelligence,Tactical,"The abstract discusses the use of Machine Learning techniques to identify key elements in electric vehicle (EV) adoption, which aligns with tactical decision-making by providing structured approaches to target potential EV purchasers. This is evident in the analysis of different ML methods and their application for marketing campaigns and decision-making.",10,70,15,0,5
An explainable recommendation framework based on an improved knowledge graph attention network with massive volumes of side information,Shimizu R.; Matsutani M.; Goto M.,2022,10.1016/j.knosys.2021.107970,"In recent years, explainable recommendation has been a topic of active study. This is because the branch of the machine learning field related to methodologies is enabling human understanding of the reasons for the outputs of recommender systems. The realization of explainable recommendation is widely expected to increase both user satisfaction and the demand for explainable recommendation systems. Explainable recommendation utilizes a wealth of side information (such as sellers, brands, user ages and genders, and bookmark information, among others) to expound the decision-making reasoning applied by recommendation models. In explainable recommendation, although learning side information containing numerous variables leads to rich interpretability, learning too many variables presents a challenge because decreases the amount of learning that a given computational resource can perform, and the accuracy of the recommendation model may be degraded. However, numerous and diverse variables are included in the side information stored by the actual companies operating massive real-world services. Hence, to realize practical applications of this valuable information, it is necessary to resolve problems such as computational cost. In this study, we propose a new framework for explainable recommendation based on an improved knowledge graph attention network model, which utilizes the side information of items and realizes high recommendation accuracy. The proposed framework enables direct interpretation by visualizing the reasons for the recommendations provided. Experimental results show that the proposed framework reduced computational time requirements by approximately 80%, while maintaining recommendation accuracy by enabling the model to learn the probabilistically given edges included in the graph structure. Moreover, the results show that the proposed framework exhibited richer interpretability than the conventional model. Finally, a multifaceted analysis suggests that the proposed framework is not only effective as an explainable recommendation model but also provides a powerful tool for planning various marketing strategies. © 2021 The Author(s)",Explainable artificial intelligence; Explainable recommendation; Knowledge graph attention network; Knowledge graph embedding; Knowledge graph enabled recommendation; Model-intrinsic approach,Elsevier B.V.,scopus-artificial intelligence,Tactical,"The abstract discusses the development of an explainable recommendation framework that shows clear applications in marketing strategies and consumer behavior. It focuses on specific methodologies to enhance recommendation systems, which aligns with tactical decision-making in interpreting strategic goals into actionable targets.",15,70,10,0,5
Defining an Integrated and Computed Methodology Approach for Sentiment and Psychographic Analysis in Tourism Research,Izzo F.; Picone Q.,2022,10.29036/jots.v13i25.393,"High-performance computational resources and artificial intelligence-based tools can enhance tourism research and marketing. However, a formal methodological approach using digital technologies in this field is still missing. This research work presents the preliminary results of defining an integrated computational methodology in tourism research and marketing. In addition, the paper aims to provide guidelines for a methodological approach leveraging technological resources and Big Data. The proposed research method is based on online User-Generated Content (UGC) analysis through a psychographic approach based on the Big Five Model, Sentiment Analysis, and Machine Learning techniques. The study is supported by high-performance computing resources, artificial intelligence-based tools, and open-source Python-based software for data collection, text analysis, and psychographic attribution. Results show a remarkable performance of the BFF prediction model and confirm the role of personality in the tourists’ decision-making and appreciation of a site. Future developments of this project involve using the acquired structured dataset labeled with sentiment and psychographic attribution to create a further prediction model on tourist segments and appreciation as part of a marketing strategy in tourism management. Future research should push forward the development of further integrated and performing computer-based methodology in tourism research and marketing, leveraging the massive amount of data and the potential of high-performance computing techniques. The main contribution of this research effort is twofold: the definition of a general-purpose BFF/Sentiment Analysis methodology and the development of a prediction model from online UGC based on the Big Five personality traits in the tourism research scenario. © 2022 Ikenga. All right reserved.",Big Five Factor model; Machine Learning; Sentiment Analysis,Center for International Scientific Research of VSO and VSPP,scopus-artificial intelligence,Strategic,"The abstract discusses the development of a general-purpose methodology for tourism research and marketing, focusing on long-term goals and the integration of advanced technologies such as AI and Big Data. This aligns with strategic planning aimed at defining the overall direction and goals of the organization in the tourism sector.",45,30,15,5,5
UNIFYING ALGORITHMIC AND THEORETICAL PERSPECTIVES: EMOTIONS IN ONLINE REVIEWS AND SALES,Yu Y.; Yang Y.; Huang J.; Tan Y.,2023,10.25300/MISQ/2022/16600,"Emotion artificial intelligence, the algorithm that recognizes and interprets various human emotions beyond valence (positive and negative polarity), is still in its infancy but has attracted attention from industry and academia. Based on discrete emotion theory and statistical language modeling, this work proposes an algorithm to enable automatic domain-adaptive emotion lexicon construction and multidimensional emotion detection in texts. Using a large-scale dataset of China’s movie market from 2012 to 2018, we constructed and validated a domain-specific emotion lexicon and demonstrated the predictive power of eight discrete emotions (i.e., surprise, joy, anticipation, love, anxiety, sadness, anger, and disgust) in online reviews on box office sales. We found that representing overall emotions through discrete emotions yields higher prediction accuracy than valence or latent emotion variables generated by topic modeling. To understand the source of the predictive power from a theoretical perspective and to test the cross-culture generalizability of our prediction study, we further conducted an experiment in the U.S. movie market based on theories on emotion, judgment, and decision-making. We found that discrete emotions, mediated by perceived processing fluency, significantly affect the perceived review helpfulness, which further influences purchase intention. Our work shows the economic value of emotions in online reviews, generates insight into the mechanism of their effects, and has managerial implications for online review platform design, movie marketing, and cinema operations. © 2023 University of Minnesota. All rights reserved.",box office; Emotion; online reviews; perceived helpfulness; perceived processing fluency; purchase intention,University of Minnesota,scopus-artificial intelligence,Tactical,"The abstract discusses an algorithm for emotion detection in texts that can influence marketing decisions, such as purchase intention and review helpfulness. This aligns with tactical decision-making as it interprets strategic goals into actionable insights for marketing analytics and customer engagement.",20,60,15,0,5
Organizational frontlines in the digital age: The Consumer–Autonomous Technology–Worker (CAW) framework,van Doorn J.; Smailhodzic E.; Puntoni S.; Li J.; Schumann J.H.; Holthöwer J.,2023,10.1016/j.jbusres.2023.114000,"While organizational frontlines in the digital age involve complex interactions between consumers, autonomous technology (AT), and frontline workers, research so far largely focuses on the effect of AT on either the consumer or the worker. Bridging the fields of marketing and organizational behavior, we develop the Consumer–Autonomous Technology–Worker (CAW) framework, which reflects the implications of consumer–worker–AT interactions. We consider that AT can be consumer-facing, such as service robots, or worker-facing, such as AT-enabled knowledge-based systems supporting a worker's decision-making. Drawing on illustrative interviews in hospitality contexts with workers who co-work with robots and the consumers served, we develop research propositions that highlight avenues for future research. We expect consumer–worker relations to strengthen when AT augments instead of replaces the worker. Human leadership is critical for consumers’ and workers’ acceptance of AT, while AT anthropomorphism is less critical in the presence of a human worker. © 2023 The Author(s)",Artificial intelligence; Automation; Human–machine collaboration; Robots; Service,Elsevier Inc.,scopus-artificial intelligence,Strategic,"The abstract discusses the Consumer–Autonomous Technology–Worker (CAW) framework, which reflects long-term implications and interactions between consumers, autonomous technology, and workers in organizational settings. This aligns with strategic planning and the exploration of broader goals and relationships.",50,20,15,5,10
Exploring the generational influence on social media-based tourist decision-making in India,Gulati S.,2024,10.1108/IDD-11-2022-0115,"Purpose: This study aims to explore how social media affects decision-making among tourists and whether there is a potential effect of age, which is studied through generations. For this purpose, baby boomers, Gen X, Gen Y and Gen Z tourists are studied and real-time implications are offered. Design/methodology/approach: The study adopts a descriptive and exploratory design where the conceptual model of social media-based decision-making is developed through a review of the literature. Quantitative analysis is conducted on primary data from 600 Indian tourists. This is done using a self-administered questionnaire adopted from Gulati (2022) after checking its validity and reliability. The statistical analysis for hypothesis testing is done using PLS-SEM path modelling on pooled data. To study the categorical moderating effect of generations, partial least squares multigroup analysis (PLS-MGA) is performed as a paired comparison on every successive generation. Findings: After testing every successive younger generation with an older generation through PLS-MGA, none of the pairs found any significant differences in path coefficients, as the values obtained were 0.05 < p < 0.95 for all five paths (SM → NR, SM → IS, SM → E, SM → P, SM → PPB). This indicates all the generations behave in a similar manner irrespective of them being older or younger, and age does not moderate social media’s impact on decision-making among Indian tourists. Research limitations/implications: The study establishes India as a unique geographical market and suggests tourism marketers to treat all generations at par, irrespective of age, as they behave and interact with social media in a similar manner. But, because this study is restricted to a single geographical location, i.e. India, further regions can be explored for global generalisation. Future research can also explore other demographics for combined, moderated analysis. Findings from the study suggest that marketers should ensure that equal attention is given to all generations as they engage with social media in a similar manner. Targeted marketing using artificial intelligence can help in ensuring custom ads. Personalisation according to generations can also facilitate greater purchases. Originality/value: The study fills a major population and knowledge gap by exploring a topic that has been highly under-researched. Also, the study adopts an inclusive approach by analysing all the generations, both younger and older, to understand the potential effect of age on moderating the impact that social media has on tourist decision-making. Further, real-time suggestions and implications are offered to tourism marketers with special reference to the Indian tourism industry. © 2023, Emerald Publishing Limited.",Generations; India; Social media; Tourist decision-making; User generated content,Emerald Publishing,scopus-artificial intelligence,Tactical,"The study provides insights into how different generations engage with social media for decision-making in tourism, implying a structured approach for marketers to target various demographic groups effectively. This aligns with tactical marketing strategies such as user engagement in social media and personalized advertising.",15,60,20,0,5
Two Brothers Organic Farms: building shared value in a competitive market,Laddha S.; Bose V.,2024,10.1108/EEMCS-10-2023-0416,"Learning outcomes: After completion of the case study, students will be able to understand organic farming challenges in India, analyze Two Brothers Organic Farms’ (TBOF) value chain for creating shared values, evaluate marketing mix and product development strategies, explore social media’s impact on marketing and explore and propose strategies for long-term sustainability in the organic farming industry. Case overview/synopsis: The case study revolves around the entrepreneurial journey of Ajinkya and Satyajit Hange, two brothers who transitioned from successful banking careers to pursue their passion for organic farming. Establishing TBOF in Pune, India, the duo faced challenges in introducing organic produce to a market resistant to change. With a commitment to regenerative agriculture, they implemented innovative farming practices, including desi cow rearing, multicropping and indigenous seeds. The narrative unfolds the brothers’ strategic roles, where Ajinkya manages crop production, and Satyajit focuses on marketing. Emphasizing a trusted brand built on quality, they expanded their product portfolio (Figure 2), reaching 52 countries through direct marketing and word of mouth. As the organic food industry surged postpandemic, TBPF faced challenges in meeting rising demand. The case study discusses the organic farming sector in India, underscoring the brothers’ efforts to combat harmful agro-inputs. The dilemmas lie in navigating the niche organic market, supply–demand imbalances and the need for sustainable business processes. The case study aims to explore the strategic decisions and dilemmas encountered by TBOF, offering insights into the complexities of sustainable entrepreneurship in the Indian organic farming sector. Complexity academic level: This case study should be used in marketing and management classes at the undergraduate level. Applicable concepts include artificial intelligence, social media, content and information. Supplementary materials: Teaching notes are available for educators only. Subject code: CSS 11: Strategy. © 2024, Emerald Publishing Limited.",Marketing mix; Sustainability; Value chain,Emerald Publishing,scopus-artificial intelligence,Strategic,"The case study focuses on the long-term goals and challenges of TBOF in the context of sustainable organic farming, particularly in navigating the market and implementing innovative practices. It emphasizes strategic decision-making in the pursuit of sustainability and shared value creation.",60,20,10,5,5
"Adoption of computer-based technology (CBT) in agriculture in Kentucky, USA: Opportunities and barriers",Gyawali B.R.; Paudel K.P.; Jean R.; Banerjee S.“.,2023,10.1016/j.techsoc.2023.102202,"We conducted a study to understand the factors affecting farmers' decisions to use computer-based technologies (CBT) so that feasible and farmer-friendly CBT can be developed as farm-decision support systems to improve farm productivity and sustainability. We analyzed data from 314 mail and in-person interview surveys from farmers in Kentucky, USA. We used a logistic regression model to identify sociodemographic factors influencing the adoption of CBT in farm management, production, and marketing by Kentucky farmers. Results suggest that the higher the farmer's education level, the more likely they will use CBT. Younger farmers are more likely to use CBT than older farmers, and the more acres a farmer owns, the more likely they are to use CBT. The results could help improve education and outreach strategies to reach out to farmers with innovative farm management and marketing strategies. © 2023",Adoption; Computer-based technologies (CBT); Farm management; Logistic regression; Regression; Small farms,Elsevier Ltd,scopus-artificial intelligence,Strategic,"The study aims to identify factors influencing the adoption of computer-based technologies (CBT) among farmers, which aligns with long-term strategic planning for improving farm productivity and sustainability. The development of farmer-friendly CBT as decision support systems reflects a strategic initiative to enhance agricultural practices.",70,20,5,0,5
