Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Classification,Reasons,Strategic,Tactical,Operational,Out of Scope,Not Identified
Enhancing consumer behavior analysis by data mining techniques,Hsieh N.-C.; Chu K.-N.,2009,,"Analyzing consumer behavior is a costly implementation of sophisticated information technology, which requires detailed planning and business knowledge for successful adoption. The current trend on consumer behavior analysis has been recognized on the business problem rather than on the information technology. This study presents a two-stage framework of consumer behavior analysis, and the key feature is a cascade involving self-organizing map (SOM) neural network to divide customers into homogeneous groups of customers and a decision-tree simplified method to identify relevant knowledge. Identifying consumers by this approach is helpful characteristic of customers and facilitates marketing strategy development.",Consumer behavior analysis; Credit card; Data mining; Decision tree; Neural network,,scopus-data mining,Tactical,"The study presents a framework for analyzing consumer behavior, which involves structured methods like self-organizing maps and decision trees. This aligns with tactical decision-making as it interprets strategic goals into actionable targets for marketing strategy development.",20,60,15,0,5
Data mining techniques for customer relationship management,Rygielski C.; Wang J.-C.; Yen D.C.,2002,10.1016/S0160-791X(02)00038-6,"Advancements in technology have made relationship marketing a reality in recent years. Technologies such as data warehousing, data mining, and campaign management software have made customer relationship management a new area where firms can gain a competitive advantage. Particularly through data mining-the extraction of hidden predictive information from large databases-organizations can identify valuable customers, predict future behaviors, and enable firms to make proactive, knowledge-driven decisions. The automated, future-oriented analyses made possible by data mining move beyond the analyses of past events typically provided by history-oriented tools such as decision support systems. Data mining tools answer business questions that in the past were too time-consuming to pursue. Yet, it is the answers to these questions make customer relationship management possible. Various techniques exist among data mining software, each with their own advantages and challenges for different types of applications. A particular dichotomy exists between neural networks and chi-square automated interaction detection (CHAID). While differing approaches abound in the realm of data mining, the use of some type of data mining is necessary to accomplish the goals of today's customer relationship management philosophy. © 2002 Elsevier Science Ltd. All rights reserved.",Chi-square automated interaction detection (CHAID); Customer relationship management (CRM); Data mining; Neural networks; Privacy rights; Relationship marketing,,scopus-data mining,Tactical,"The abstract discusses the application of data mining techniques in customer relationship management, which aligns with tactical decision-making that interprets strategic goals into actionable targets, such as advanced targeting, marketing analytics, and customer acquisition.",20,60,15,0,5
The role of insight teams in integrating diverse marketing information management techniques,Fleisher C.S.; Wright S.; Allard H.T.,2008,10.1108/03090560810877187,"Purpose - The paper seeks to address the viability of planning and executing the integration of four often independent marketing information management techniques, i.e. competitive intelligence (CI), customer relationship management (CRM), data mining (DM) and market research (MR). Design/methodology/approach - The research presented is a longitudinal, exploratory and descriptive case study, covering a three-year period during a critical development phase of a medium-size, national employer association which sought to improve the quality of marketing-based insights to its strategic planning capability as well as improve economic outcomes. Findings - It is possible to achieve profitable and capability enhancing integration of diverse marketing information management techniques. Successful integration and the use of a highly focused cross-functional team generated better market strategies and bottom line benefits. Practical implications - The need to generate greater insight from popular marketing information management and planning techniques is routinely experienced by marketing and other executive decision makers. This article provides a multi-year roadmap of the successful execution of technique integration, including identifying barriers that arose as well as suggesting solutions for achieving progress. Originality/value - There are very few case studies published that demonstrate the successful evolution and integration of CI, CRM, DM and MR into the enterprise's strategy-making process. The unique element of this example is that it was achieved within the context of a medium-sized, national, not-for-profit employer association. © Emerald Group Publishing Limited.",Case studies; Competitive strategy; Customer relations; Information systems; Marketing intelligence; Team working,,scopus-data mining,Strategic,The abstract discusses the integration of various marketing information management techniques to enhance strategic planning and decision-making within an organization. It addresses long-term goals related to improving marketing insights and economic outcomes.,70,20,5,0,5
Interactive media usage among millennial consumers,Moore M.,2012,10.1108/07363761211259241,"Purpose: The purpose of this study is to determine a comprehensive model of millennial usage of interactive technologies in the current marketing environment based upon actual behavior. Design/methodology/approach: A data mining approach using decision tree analysis (DTA) generates two comparative models (i.e. millennial versus generation X and millennial versus baby boomers) of interactive media usage across 21 technology applications. A large national sample (n=3,289) sourced from the Kantar Retail IQ constitutes the data for the models. Findings: Millennial respondents indicate significantly higher usage of interactive media compared to both generation X and boomers across 14 applications. Models indicate that millennials use interactive technologies for utilitarian/information gathering purposes as well as for entertainment. However, they are less likely to purchase online compared to their older counterparts. Research limitations/implications: Models provide evidence that both supports and extends previous research into interactive media from a uses and gratifications perspective. Findings suggest theoretical directions for research for economic versus emotional uses of interactive media. Practical implications: Findings suggest that while millennials are adept at using technology for research and interactive purposes they tend to buy in stores, presenting opportunities for multiple channel marketers and challenges for those who market online exclusively. Originality/value: The paper provides a realistic, comprehensive empirical model of interactive consumer behaviors across three prominent US cohorts within the current generational cycle. © Emerald Group Publishing Limited.",Cohort analysis; Decision trees; Individual behaviour; Interactive marketing; Marketing starategy; Millennial generation; User studies,,scopus-data mining,Tactical,"The study provides insights into millennial usage of interactive technologies, which can inform specific marketing strategies and targets, such as optimizing channels for marketing and understanding consumer behavior across generations.",10,70,15,0,5
Applying rough sets to market timing decisions,Shen L.; Loh H.T.,2004,10.1016/S0167-9236(03)00089-7,"A lot of research has been done to predict economic development. The problem studied here is about the stock prediction for use of investors. More specifically, the stock market's movements will be analyzed and predicted. We wish to retrieve knowledge that could guide investors on when to buy and sell. Through a detailed case study on trading S&P 500 index, rough sets is shown to be an applicable and effective tool to achieve this goal. Some problems concerning time series transformation, indicator selection, trading system building in real implementation are also discussed. © 2003 Elsevier B.V. All rights reserved.",Indicator selection; Rough sets; Trading system; Uncertainty,,scopus-data mining,Out of scope,"The abstract discusses stock market prediction, which falls under financial services and is not related to marketing.",0,0,0,100,0
Enhanced decision making using data mining: Applications for retailers,Anderson J.; Kotsiopulos A.,2002,,"As the economy has tightened, retailers have been challenged in recent years to be more strategic in their planning. They struggle to find answers to: • Who can I consider a loyal customer? • What kind of marketing strategy is most likely to increase sales? • What can customer-purchasing patterns reveal about improving inventory control? • What is the most effective way to manage customer relations to increase revenues? (Rabinovitch, 1999). With the exponential growth in the amount of data being collected, improvements in technology, and research in machine learning, retailers are now able to reduce the ever growing difficult and complex decision making process by recruiting the efforts of data mining (Barry & Linoff, 1997). Data mining is a computerized technology that uses complicated algorithms to find relationships and trends in large data bases, real or perceived, previously unknown to the retailer, to promote decision support. Currently being utilized by such retail giants as Federated Department Stores, Nordstrom, and Wal-Mart, Inc., data mining is touted to be one of the greatest technologies to hit the retailing industry this decade (Rabinovitch, 1999). The purpose of this study is to critique data mining technology in comparison with more familiar analytical tools for strategic decision making by small to medium size retailers. The context for this study includes current and future industry applications and practices for research performed in data mining applications within the retail sector.",Data mining; Decision making; Marketing strategy; Retailers; Strategic planning; Technology,,scopus-data mining,Strategic,"The abstract discusses the use of data mining technology for strategic decision-making in the retail sector, focusing on long-term goals such as improving customer relations, increasing revenues, and utilizing customer purchasing patterns for better inventory control. These aspects align with strategic planning as they define the goals and nature of the organization.",70,20,5,0,5
Uplift modeling with value-driven evaluation metrics,Gubela R.M.; Lessmann S.,2021,10.1016/j.dss.2021.113648,"Measuring the success of targeted marketing actions is challenging. Research on prescriptive analytics recommends uplift models to guide targeting decisions. Uplift models predict how much a marketing action will change customers' behavior, known as the individual treatment effect (ITE). Marketers can then solicit customers in decreasing order of their estimated ITE. We argue that the ITE-based targeting policy is not fully consistent with a business value maximization objective. We propose business-centric evaluation metrics that integrate estimates of the ITE and the expected business value and validate their benefits relative to the ITE-based targeting baseline using real-world marketing data. The new metrics yield remarkably higher profit across different uplift models, targeting depths, profit functions, and data sets. They further contribute to the growing field of interpretable data science by uncovering interdependencies between covariates, ITE, and profit and by clarifying whether customers are worth targeting because of high responsiveness or high value. © 2021 Elsevier B.V.",Evaluation metric; Interpretable data science; Target marketing; Uplift modeling,Elsevier B.V.,scopus-data science,Tactical,"The abstract discusses the application of uplift models and business-centric evaluation metrics to improve targeted marketing decisions, which aligns with tactical decision-making processes that interpret strategic goals into actionable targets.",10,70,15,0,5
New form of communication and interaction in the educational process about probability through a web application; [Nueva forma de comunicación e interacción en el proceso educativo sobre la probabilidad por medio de una aplicación web],Salas-Rueda R.-A.; Salas-Rueda É.-P.; Salas-Rueda R.-D.,2020,10.25768/20.04.03.30.04,"This quantitative research analyzes the impact of the web application for the Higher Education Process on Probability (APESP) in the Statistical Instrumentation for Business subject. The sample is composed of 61 students who attended the second semester of the Bachelor of Administration, Marketing, Information Technology, Commerce and Accounting in a Mexican university. The results of automatic learning (linear regression) with 50 %, 60 %, 70 % and 80 % of training indicate that APESP favors the assimilation of knowledge and development of skills in the educational process on the probability of events and intersection. Data science (decision tree technique) allows identifying and establishing different predictive models on the use of APESP in the teaching-learning process. Likewise, Bayes' theorem predicts the impact of APESP (contents) on the educational process of probability. Finally, APESP is an innovative technological tool that facilitates learning in the field of statistics through data simulation. © 2020 Universidade da Beira Interior. All rights reserved.",Data science; Higher education; Machine learning; Technology,Universidade da Beira Interior,scopus-data science,Out of scope,"The abstract discusses the use of a web application in a higher education context, specifically focusing on statistical education, which does not relate to marketing. Therefore, it is classified as out of scope.",5,5,5,85,0
Customer lifetime value: How to find the right calculation and prediction approach,Coleman S.; Walker D.; Rahman-Chowdhury M.; Ahlemeyer-Stubbe A.,2022,,"In this age of abundant data, there are special opportunities for companies to measure the value of their customers. Such analytical action can help inform business and marketing decisions. This article gives an overview of what is meant by customer lifetime value and describes four approaches to calculating its value. We compare the pros and cons of each approach and show how engaging with the measurement activity can be beneficial for your business. Finally, the article gives guidelines so that managers can decide which approach best fits their current situation. © 2022, Henry Stewart Publications. All rights reserved.",data science; data scientist; machine learning; marketing decisions; predictive modelling; small business; SME; statistical models,Henry Stewart Publications,scopus-data science,Tactical,"The abstract discusses various approaches to calculating customer lifetime value, which is a tactical decision-making process aimed at improving business and marketing decisions. It provides guidelines for managers to choose the best approach, aligning with tactical analytics and engagement in marketing.",20,60,15,0,5
Why domain knowledge is essential for data scientists in marketing,Ahlemeyer-Stubbe A.; Müller A.,2022,,"What good is the most scientifically valuable analysis if it piles up in marketers’ inboxes but does not give them the necessary foundation for their decisions? Such a situation is no use to data scientists and certainly no use to the marketing team. The root of the issue is that two worlds meet here that speak completely different languages. Only if data scientists can ‘translate’ their results into marketing language will their work be successful. Marketing teams do not need as much information as possible; rather, they require just the right information, preferably with recommendations for action that can guide their decisions. To select the information that is truly useful for marketing and communicate it in an understandable way, data scientists must have more than expertise in analytics methods and tools (which is assumed and therefore not discussed in detail here); they also need to know about marketing objectives and have a comprehensive contextual understanding of their company’s industry and sector, including competitors. Knowledge of the general situation in the world as well as the legal, political and religious particularities of the countries in which the company operates is also required. In short, analytics results that truly drive marketing can only be delivered by data scientists with domain knowledge. Using a case study from the field, this paper shows how data scientists can gain the domain knowledge they need to be successful in marketing and in which aspects of their work it helps them perform more effectively. © Henry Stewart Publications.",computer science; data scientist; domain knowledge in data science; marketing analytics; predictive modelling; statistics; success factors,Henry Stewart Publications,scopus-data science,Tactical,"The abstract discusses how data scientists need to translate their analytical results into actionable insights for marketing teams, which aligns with tactical decision-making. It emphasizes the need for structured decisions in the context of marketing objectives and recommends actions based on analytics.",10,70,15,0,5
Green data science in cyber security: Network security threat detection and prevention techniques; [Un estudio sobre herramientas y técnicas para modelos de negocio.],Rahim R.; Nguyen P.T.; Nurwita; Lydia E.L.; Shankar K.,2019,,"Nowadays a business models, supported the merchandise sales, to new product-service systems is chance for industrial corporations to realize and new advantage. Because it needs elementary changes within the structure, culture and competencies of the corporate and ne’er the less makers overtime fight with this innovation. Rarely, however industrial perceive they ought to reconfigure the weather of the business model (BM). Additionally, Product-Service System is a business models extensively and tiny support to the still offers and decision-making method relating to the service transformation. An application of the framework during a capital product manufacturer and supply analysis insights. The tools to work out the business model for any organization for the innovation of the business. The business model innovation for achieving profitable, growth of business model. Business models the method of the methodology to sensible, toolkit has been developed by the used of techniques. A business model produce, describe, creates, delivers and captures worth. The business model method is modification, operating and construction is named the business model innovation of the business strategy. © 2019, Universidad del Zulia. All rights reserved.",Business model innovation; Digital marketing; PSS (Product-Service System); Service transformation,Universidad del Zulia,scopus-data science,Strategic,"The abstract discusses the transformation of business models and the need for fundamental changes in structure, culture, and competencies, which aligns with long-term strategic planning and innovation for organizations.",70,15,10,0,5
