Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Classification,Reasons,Strategic,Tactical,Operational,Out of Scope,Not Identified
Not complacent but scared: another look at the causes of strategic inertia among successful firms from a regulatory focus perspective,Rusetski A.; Lim L.K.S.,2011,10.1080/0965254X.2011.557743,"While complacency is the most commonly offered explanation for the lack of strategic change among successful firms, research in management psychology suggests otherwise. Based on regulatory focus theory, we propose that competitive success prompts an increased sense of responsibility in managers, causing them to assume a defensive attitude and to concentrate on preserving the status quo instead of becoming complacent. Data collected from the Markstrat simulation support our predictions. The findings imply that efforts to encourage strategic change by pressurizing managers will backfire, because they will aggravate managers' defensive attitude. Instead, firms should loosen the pressure on managers and allow them to experiment with innovative strategies. © 2011 Copyright Taylor and Francis Group, LLC.",decision making; marketing strategy; Markstrat; regulatory focus; strategic inertia,,scopus-prediction,Strategic,"The abstract discusses the implications of managerial behavior towards strategic change in successful firms, suggesting that competitive success leads to a defensive attitude that preserves the status quo. This aligns with long-term organizational goals and the nature of strategic planning.",70,10,5,0,15
Compatibility effects in evaluations of satisfaction and loyalty,Auh S.; Johnson M.D.,2005,10.1016/j.joep.2003.10.002,"The goal of this research is to help understand the difference between satisfaction and loyalty based on the nature of the judgment tasks involved. By drawing on the notion of the prediction- decision inconsistency, we posit satisfaction as a consumption/experience utility and loyalty as a decision utility to explain the missing link between satisfaction and loyalty. An important assumption that may be driving the prediction-decision inconsistency, but has not been addressed, is the different criteria that consumers use in arriving at the two different types of utilities. The authors argue that this difference affects the compatibility, and resulting influence, of quality versus price information on satisfaction and loyalty evaluations. An empirical study of 183 firms using data from the American Customer Satisfaction Index is reported which supports the proposed compatibility effects. Implications for marketing theory and practice are discussed. © 2003 Elsevier B.V. All rights reserved.",Compatibility effects; Customer satisfaction; Loyalty,,scopus-prediction,Strategic,"The research aims to understand the relationship between satisfaction and loyalty, which are crucial for long-term organizational goals in marketing. It discusses how different criteria in judgment tasks influence consumer behavior, which aligns with strategic planning in marketing.",60,20,10,0,10
"Investment, capital structure, and complementarities between debt and new equity",Stenbacka R.; Tombak M.,2002,10.1287/mnsc.48.2.257.260,"We study simultaneous investment and financing decisions made by incumbent owners in the presence of capital market imperfections. We present a theory for how the optimal combination of debt and equity financing depends on the firm's internal funds. We identify complementarities between the two financial instruments. We test these predictions empirically with panel data on 3,119 corporations in the COMPUSTAT database. Our estimates using instrumental variable techniques support our theoretical predictions regarding the link between internal funds and capital investments, as well as the interaction effects between debt and new equity. We explore implications for managers, financiers, and policy makers.",Capital Structure; Complementarities; Financial Constraints; Investments,INFORMS Inst.for Operations Res.and the Management Sciences,scopus-prediction,Out of scope,"The abstract discusses capital market imperfections and financing decisions of corporations, which are not directly related to marketing but rather to financial management and investment strategies.",5,10,5,75,5
Managerial risk perceptions of international entry-mode strategies: The interaction effect of control and capability,Forlani D.; Parthasarathy M.; Keaveney S.M.,2008,10.1108/02651330810877225,"Purpose - The primary purpose of this paper is to investigate how opportunity for control and firm capability interact to moderate the amount of risk that managers associate with various international entry-mode strategies. A secondary goal is to investigate how managers perceive the need to retain control over three core functional areas (marketing, production, and R&D) when making entry-mode decisions. Design/methodology/approach - A field experiment design was implemented in a sample of US business owner/executives. Using an online data collection method, the study asked a sample of small-business owners and managers to assess the amount of risk they associated with three modes of entering the Japanese market: non-ownership (export), equal partnership (50/50 joint-venture), and sole-ownership. They were also asked how much control they needed to retain over R&D, production, and marketing for the venture to be successful. Findings - Ownership-provided control interacts with capability to influence managerial risk perceptions. Managers in lower-capability firms see the least risk in the non-ownership entry mode while those in higher-capability firms see the least risk in the equal-partnership entry mode. Managers believe that for a new venture in a foreign market to be successful, control should be retained over the R&D function, regardless of entry mode. Research limitations/implications - The findings appear to reconcile some of the conflicting predictions of the transaction cost and resource-based theoretical perspectives, because it appears that international managers consider both control (internationalization theory) and capability (resource-based theory) when judging the perceived risk of an entry strategy. Practical implications - For firms that are incapable of managing in an international context, a low-control no-ownership entry mode is perceived as the least risky approach; for firms that have some capability for international management, then a partial-ownership mode such as a 50/50 joint-venture is perceived as having lower risk than no-ownership. In non-ownership and joint-venture type entry modes, managers are more apt to outsource the marketing function to an agent/partner, but not R&D. In contrast, managers believe that marketing needs to be maintained in-house when utilizing a sole-ownership entry mode. Originality/value - By illustrating the role of perceived risk in foreign-market entry-mode decisions and demonstrating how capabilities interact with ownership-provided control to moderate these perceptions, the paper's findings suggest that managers' risk perceptions may mediate the effects of firm-specific factors, and thus contributes significantly to both theory and practice. © Emerald Group Publishing Limited.",Japan; Market entry; Marketing decision making; Overseas trade; Risk management; Small enterprises,,scopus-prediction,Strategic,"The abstract discusses how managers perceive and manage risks associated with international market entry strategies, which involves long-term planning and decision-making related to the firm's strategic goals and capabilities.",70,15,10,0,5
Consumption self-control by rationing purchase quantities of virtue and vice,Wertenbroch K.,1998,10.1287/mksc.17.4.317,"Consumers' attempts to control their unwanted consumption impulses influence many everyday purchases with broad implications for marketers' pricing policies. Addressing theoreticians and practitioners alike, this paper uses multiple empirical methods to show that consumers voluntarily and strategically ration their purchase quantities of goods that are likely to be consumed on impulse and that therefore may pose self-control problems. For example, many regular smokers buy their cigarettes by the pack, although they could easily afford to buy 10-pack cartons. These smokers knowingly forgo sizable per-unit savings from quantity discounts, which they could realize if they bought cartons; by rationing their purchase quantities, they also self-impose additional transactions costs on marginal consumption, which makes excessive smoking overly difficult and costly. Such strategic self-imposition of constraints is intuitively appealing yet theoretically problematic. The marketing literature lacks operationalizations and empirical tests of such consumption self-control strategies and of their managerial implications. This paper provides experimental evidence of the operation of consumer self-control and empirically illustrates its direct implications for the pricing of consumer goods. Moreover, the paper develops a conceptual frame-work for the design of empirical tests of such self-imposed constraints on consumption in consumer goods markets. Within matched pairs of products, we distinguish relative ""virtue"" and ""vice"" goods whose preference ordering changes with whether consumers evaluate immediate or delayed consumption consequences. For example, ignoring long-term health effects, many smokers prefer regular (relative vice) to light (relative virtue) cigarettes, because they prefer the taste of the former. However, ignoring these short-term taste differences, the same smokers prefer light to regular cigarettes when they consider the long-term health effects of smoking. These preference orders can lead to dynamically inconsistent consumption choices by consumers whose tradeoffs between the immediate and delayed consequences of consumption depend on the time lag between purchase and consumption. This creates a potential self-control problem, because these consumers will be tempted to overconsume the vices they have in stock at home. Purchase quantity rationing helps them solve the self-control Problem by limiting their stock and hence their consumption opportunities. Such rationing implies that, per purchase occasion, vice consumers will be less likely than virtue consumers to buy larger quantities in response to unit price reductions such as quantity discounts. We first test this prediction in two laboratory experiments. We then examine the external validity of the results at the retail level with a field survey of quantity discounts and with a scanner data analysis of chain-wide store-level demand across a variety of different pairs of matched vice (regular) and virtue (reduced fat, calorie, or caffeine, etc.) product categories. The analyses of these experimental, field, and scanner data provide strong convergent evidence of a characteristic crossover in demand schedules for relative vices and virtues for categories as diverse as, among others, potato chips, chocolate chip cookies, cream cheese, beer, soft drinks, ice cream and frozen yogurt, chewing gum, coffee, and beef and turkey bologna. Vice consumers' demand increases less in response to price reductions than virtue consumers' demand, although their preferences are not generally weaker for vices than for virtues. Constraints on vice purchases are self-imposed and strategic rather than driven by simple preferences. We suggest that rationing their vice inventories at the point of purchase allows consumers to limit subsequent consumption. As a result of purchase quantity rationing, however, vice buyers forgo savings from price reductions through quantity discounts, effectively paying price premiums for the opportunity to engage in self-control. Thus, purchase quantity rationing vice consumers are relatively price insensitive. From a managerial and public policy perspective, our findings should offer marketing practitioners in many consumer goods industries new opportunities to increase profits through segmentation and price discrimination based on consumer self-control. They can charge premium prices for small sizes of vices, relative to the corresponding quantity discounts for virtues. Virtue consumers, on the other hand, will buy larger amounts even when quantity discounts are relatively shallow. A key conceptual contribution of this paper lies in showing how marketing researchers can investigate a whole class of strategic self-constraining consumer behaviors empirically. Moreover, this research is the first to extend previous, theoretical work on impulse control by empirically demonstrating its broader implications for marketing decision making.",Intertemporal choice; Pricing policy; Product policy; Segmentation; Self-control,Institute for Operations Research and Management Sciences,scopus-prediction,Strategic,"The abstract discusses consumer self-control strategies and their implications for pricing policies, which involve long-term marketing decisions and consumer behavior analysis. It emphasizes the need for marketers to understand consumer behavior to develop effective pricing strategies based on self-imposed purchase constraints.",60,20,15,0,5
The role of public policies in reducing smoking and deaths caused by smoking in Vietnam: Results from the Vietnam tobacco policy simulation model,Levy D.T.; Bales S.; Lam N.T.; Nikolayev L.,2006,10.1016/j.socscimed.2005.08.043,"A simulation model is developed for Vietnam to project smoking prevalence and associated premature mortality. The model examines independently and as a package the effects of five types of tobacco control policies: tax increases, clean air laws, mass media campaigns, advertising bans, and youth access policies. Predictions suggest that the largest reductions in smoking rates will result from implementing a comprehensive tobacco control policy package. Significant inroads may be achieved through tax increases. A media campaign along with programs to publicize and enforce clean air laws, advertising bans and youth access laws would further reduce smoking rates. Tobacco control policies have the potential to make large dents in smoking rates, which in turn could lead to many lives saved. In the absence of these measures, deaths from smoking will increase. The model also helps to identify information gaps pertinent both to modeling and policymaking. © 2005 Elsevier Ltd. All rights reserved.",Cigarette smoking; Simulation model; Tobacco control policy; Vietnam,,scopus-prediction,Out of scope,"The abstract discusses a simulation model for tobacco control policies in Vietnam, focusing on public health rather than marketing strategies. It addresses smoking prevalence and mortality rather than marketing tactics or strategies.",10,5,5,75,5
A regime-switching model of cyclical category buying,Park S.; Gupta S.,2011,10.1287/mksc.1110.0643,"In many categories consumers display cyclical buying: they repeatedly purchase in the category for several periods, followed by several periods of not buying. We believe that the cyclicality is a manifestation of crosscategory substitution by the consumer, caused by ""variety-seeking"" tendencies as well as by the firm's marketing activities in all relevant categories. We propose a Markov regime-switching random coefficient logit model to represent these behaviors as stochastic switching between high and low category purchase tendencies. The main feature of the proposed model is that it divides the stream of purchase decisions of a consumer into distinct regimes with different parameter values that characterize high versus low purchase tendencies. In an empirical application of the model to purchases of yogurt-buying households, we find that as many as 38.3% households display cyclicality between high and low yogurt-purchasing tendencies. Predictions from our proposed model track observed yogurt purchases of households over time closely, and the model also fits better than two benchmark models. Alternating between high and low purchase tendencies may correspond with changing levels of consumer inventory in a substitute category. If one ignores this phenomenon, a correlation between yogurt inventory and the error term in utility arises, leading to biased estimates. Also, we show that cyclicality in buying has a key implication for a firm's price promotion strategies: a price reduction that is offered to a household during its high purchasing tendency period will result in greater increases in sales than one that is offered during its low purchasing period. This opens up a new dimension for enhancing the effectiveness of promotions-customized timing of price reductions. © 2011 INFORMS.",Brand choice; Endogeneity; Heterogeneity; Logit model; Random coefficients; Scanner data; Simulated maximum likelihood,,scopus-prediction,Tactical,"The abstract discusses a model for understanding consumer purchasing behavior and its implications for marketing strategies, particularly in terms of timing price promotions to enhance sales. This focuses on interpreting strategic goals into actionable targets, fitting within the tactical decision-making level.",20,60,15,0,5
An empirical examination of the decision to invest in fulfillment capabilities: A study of internet retailers,Randall T.; Netessine S.; Rudi N.,2006,10.1287/mnsc.1050.0493,"Internet technology has allowed for a higher degree of decoupling between the information-intensive sales process and the physical process of inventory management than its brick-and-mortar counterpart. As a result, some Internet retailers choose to outsource inventory and back-end operations to focus on the sales/marketing aspects of e-commerce. Nonetheless, many retailers keep fulfillment capabilities in-house. In this paper, we identify and empirically test factors that persuade firms to integrate inventory and fulfillment capabilities with virtual storefronts. Based on the extant literature and previous research in e-commerce, we formulate nine theoretical predictions. We then use data from a sample of over 50 public Internet retailers to test whether empirical data are consistent with these hypotheses. Finally, given the strategic importance and financial magnitude of the inventory investment decision, we analyze the effect of this decision on the economic success of Internet retailers during the period of study. We find that there are many circumstances in which it is prudent to own fulfillment capabilities and inventory. Empirical data are consistent with hypotheses that this tendency is higher for older firms selling small, high-margin products, offering lower levels of product variety, and facing lower demand uncertainty. We also discover that firms making inventory ownership decisions that are consistent with an empirical benchmark derived from environmental and strategic factors are less likely to go bankrupt than those making inconsistent inventory choices. © 2006 INFORMS.",Bankruptcy; Econometrics; Electronic commerce; Fulfillment; Hazard model; Internet; Retailing; Supply chain management,,scopus-prediction,Strategic,"The abstract discusses the long-term implications of inventory management decisions in relation to e-commerce strategies and the overall economic success of Internet retailers. It also identifies factors influencing the integration of inventory and fulfillment capabilities, which align with strategic planning and decision-making.",70,20,5,0,5
Sales Analysis,Eardley-Simpson J.,1974,10.1108/EUM0000000005077,"The component parts of a sale—period, product, quantity, seller, place, customer, and terms of sale—contain within themselves information relationships whose significance tends to be hidden, or lost, through over-simplification of the idea of what a ‘sale’ is. Also, the forward-looking attitude encouraged by the marketing concept tends to demote past sales information to a role of short-term control of the selline function. However, sales analysis can make a creative contribution towards effective marketing research, prediction and decision-making, particularly if computer handling is applied to facilitate both detailed disaggregation of the information contained in a sale, and speed in its retrieval. © 1974, MCB UP Limited",,,scopus-prediction,Tactical,"The abstract discusses the details of sales analysis and its implications for marketing functions, which aligns with tactical decision-making that interprets strategic goals into actionable targets. It emphasizes the use of sales data for marketing research and decision-making, indicating structured approaches to achieving marketing objectives.",15,70,10,0,5
"The interplay among category characteristics, customer characteristics, and customer activities on in-store decision making",Inman J.J.; Winer R.S.; Ferraro R.,2009,10.1509/jmkg.73.5.19,"The authors explore product category and customer characteristics that affect consumers' likelihood of engaging In unplanned purchases. In addition, they examine consumer activities that can exacerbate or limit these effects. The authors employ a hierarchical modeling approach to test their hypotheses using a data set of in-store intercept interviews conducted with 2300 consumers across 28 stores. The results show that category characteristics, such as purchase frequency and displays, and customer characteristics, such as household size and gender, affect in-store decision making. Moreover, although the analysis reveals that the baseline probability of an unplanned purchase is 46%, the contextual factors can drive this probability as high as 93%. The results support the predictions that list use, more frequent trips, limiting the aisles visited, limiting time spent in the store, and paying by cash are effective strategies for decreasing the likelihood of making unplanned purchases. © 2009, American Marketing Association.",First moment of truth; In-store decision making; Shopper insights; Shopper marketing; Unplanned purchases,,scopus-prediction,Tactical,"The abstract discusses specific consumer behaviors and strategies that influence unplanned purchases, which aligns with tactical decision-making in marketing. It provides insights into how to structure campaigns and consumer interactions to decrease the likelihood of unplanned purchases.",10,70,15,0,5
